"file"	"sample"	"sample_name"	"condition"	"replicate"
"E:\MS_data\PXD002099\110714_yeast_ups1_2fmol_r1.raw"	"A_1"	"A_1"	"A"	1
"E:\MS_data\PXD002099\110714_yeast_ups1_2fmol_r2.raw"	"A_2"	"A_2"	"A"	2
"E:\MS_data\PXD002099\110714_yeast_ups1_2fmol_r3.raw"	"A_3"	"A_3"	"A"	3
"E:\MS_data\PXD002099\110714_yeast_ups1_4fmol_r2.raw"	"B_1"	"B_1"	"B"	1
"E:\MS_data\PXD002099\110714_yeast_ups1_4fmol_r3.raw"	"B_2"	"B_2"	"B"	2
"E:\MS_data\PXD002099\110714_yeast_ups1_4fmol_r4.raw"	"B_3"	"B_3"	"B"	3
"E:\MS_data\PXD002099\110616_yeast_ups_10fmol.raw"	"C_1"	"C_1"	"C"	1
"E:\MS_data\PXD002099\110616_yeast_ups_10fmol_r2.raw"	"C_2"	"C_2"	"C"	2
"E:\MS_data\PXD002099\110616_yeast_ups_10fmol_r3.raw"	"C_3"	"C_3"	"C"	3
"E:\MS_data\PXD002099\110618_yeast_ups_25fmol_r1.raw"	"D_1"	"D_1"	"D"	1
"E:\MS_data\PXD002099\110618_yeast_ups_25fmol_r2.raw"	"D_2"	"D_2"	"D"	2
"E:\MS_data\PXD002099\110618_yeast_ups_25fmol_r3.raw"	"D_3"	"D_3"	"D"	3
"E:\MS_data\PXD002099\110618_yeast_ups_50fmol_r1.raw"	"E_1"	"E_1"	"E"	1
"E:\MS_data\PXD002099\110618_yeast_ups_50fmol_r2.raw"	"E_2"	"E_2"	"E"	2
"E:\MS_data\PXD002099\110618_yeast_ups_50fmol_r3.raw"	"E_3"	"E_3"	"E"	3
